,Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
2679,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2680,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2681,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2682,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2683,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2684,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2685,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2686,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2687,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2688,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2689,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2690,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2691,Lemur-2,Spire,US,3U,not launched,not launched,"Constellation for GPS radio occultation weather data, AIS and ADS-B.",
2692,LignoSat,Kyoto University,Japan,1U,not launched,not launched,Outside structure is mainly composed of wood.,
2693,LoLaSat (Low Latency Satellite),Smart Small Satellite Systems (S4),Germany,3U,not launched,not launched,Test satellite for broadband internet in very low Earth orbit (VLEO).,
2694,MAMBO (Mini Astrophysical MeV Background Observatory),Los Alamos National Laboratory,US,12U,not launched,not launched,Gamma-ray astrophysics investigation that will answer three decades old questions about the mysterious Cosmic Diffuse Gamma-ray (CDG) background.,
2695,METEOR (METEORIX),Université Pierre et Marie Curie,France,3U,not launched,not launched,Detect and characterize meteors by UV photometry and spectroscopy.,
2696,MSAE-OTTERS,DLR Competence Center for Responsive Space Cluster Compentence Center (RSC³),Germany,3U,not launched,not launched,"Develop a small satellite within just nine months and start. For this, the typical development and provision processes need to be accelerated, from which future satellite developments should benefit.",
2697,NanoBob,CSUG-IPAG (Univ. Grenoble Alpes),France,12U,not launched,not launched,Demonstrate the experimental feasibility of fully quantum communication over a distance of 500 km.,
2698,NIMPH (Nanosat to Investigate Microwave Photonic Hardware),Centre Spatial Universitaire de Toulouse (CSUT),France,3U,not launched,not launched,Technology validation of optical components and degradation measurements.,
2699,NorthStar Spire 1 (Lemur-2),NorthStar,US,12U,not launched,not launched,Initial fleet for a constellation of space situational awareness (SSA) data.,
2700,NorthStar Spire 2 (Lemur-2),NorthStar,US,12U,not launched,not launched,Initial fleet for a constellation of space situational awareness (SSA) data.,
2701,NorthStar Spire 3 (Lemur-2),NorthStar,US,12U,not launched,not launched,Initial fleet for a constellation of space situational awareness (SSA) data.,
2702,OLLO (Open Little Luminary Observatory),University of Vigo,Spain,3U,not launched,not launched,Small orbital telescope system concept aimed to provide an open access platform for astronomical observations.,
2703,Oracle 1,University of Edinburgh (Asteria),UK,3U,not launched,not launched,Earth observation.,
2704,ORB-12 Strider,OrbAstro (Orbital Astronautics),UK,12U,not launched,not launched,Test propulsion module for Aliena-Aurora and many internally developed subsystems.,
2705,OreSat0.5,Portland State University,US,1.5U,not launched,not launched,"Test the attitude determination and control system (ADCS) of the modular, expandable, and open source OreSat bus.",
2706,OUFTI-Next,University of Liège,Belgium,3U,not launched,not launched,Image in the mid-wave infrared (MWIR) with a resolution of 50 m for precision agriculture.,
2707,OVER-Sat,SCOUT Space,US,6U,not launched,not launched,"Provide one-to-one observation for your high-value mission to enhance a successful outcome. In addition, it gives an observational safety net if needed.",
2708,PHI-1 (Payload Hosting Initiative),Mohammed Bin Rashid Space Centre (MBRSC),United Arab Emirates,12U,not launched,not launched,A 12U modular satellite platform for payload hosting.,
2709,PilsenCube2,University of West Bohemia,Czech,1U,not launched,not launched,Demonstrating Timepix-based hodoscope for cubesat applications for detecting passing charged particles.,
2710,Pleiades - Sapling Giganteum (Sapling-2),Stanford University,US,1U,not launched,not launched,"Demonstrate CubeSat bus, intersatellite links and perform radio amateur mission.",
2711,PowerSat,California Polytechnic State University,US,1U,not launched,not launched,Technology demonstration mission on the use of a new generation of deployable solar arrays.,
2712,PROMETHEUS-1,University of Minho,Portugal,PocketQube 1p,not launched,not launched,Providing easy access to space for the research and education (R&E) community.,
2713,ProtoMéthée-1 (ProtoMethee-1),Prométhée (Promethee),France,16U,not launched,not launched,Demonstration for Earth observation constellation and image analysis platform.,
2714,"PTD-4 LISA (PTHFDR, Pathfinder Technology Demonstrator)",NASA Ames Research Center,US,6U,not launched,not launched,Government-furnished technology payloads for a series of flight demonstrations.,
2715,"PTD-5 (PTHFDR, Pathfinder Technology Demonstrator)",NASA Ames Research Center,US,6U,not launched,not launched,Government-furnished technology payloads for a series of flight demonstrations.,
2716,PW-Sat3,Warsaw University of Technology,Poland,3U,not launched,not launched,Demonstrating orbit control with propulsion system and educational mission.,
2717,RADMIA (RADiation Measurement and Image Acquire),Northwestern Polytechnical University,China,16U,not launched,not launched,Going to lunar orbit and primary payload of the probe is a mini radiometer and PAN/multispectral camera.,
2718,REC 1 (ScopeSat),SatRevolution,Poland,6U,not launched,not launched,Provide imaging with spatial resolution below 1m in the smallest time intervals for Poland.,
2719,REC 2 (ScopeSat),SatRevolution,Poland,6U,not launched,not launched,Provide imaging with spatial resolution below 1m in the smallest time intervals for Poland.,
2720,REC 3 (ScopeSat),SatRevolution,Poland,6U,not launched,not launched,Provide imaging with spatial resolution below 1m in the smallest time intervals for Poland.,
2721,REC 4 (ScopeSat),SatRevolution,Poland,6U,not launched,not launched,Provide imaging with spatial resolution below 1m in the smallest time intervals for Poland.,
2722,REC 5 (ScopeSat),SatRevolution,Poland,6U,not launched,not launched,Provide imaging with spatial resolution below 1m in the smallest time intervals for Poland.,
2723,REC 6 (ScopeSat),SatRevolution,Poland,6U,not launched,not launched,Provide imaging with spatial resolution below 1m in the smallest time intervals for Poland.,
2724,REC 7 (ScopeSat),SatRevolution,Poland,6U,not launched,not launched,Provide imaging with spatial resolution below 1m in the smallest time intervals for Poland.,
2725,REC 8 (ScopeSat),SatRevolution,Poland,6U,not launched,not launched,Provide imaging with spatial resolution below 1m in the smallest time intervals for Poland.,
2726,RHOK-SAT (RHodes-OKlahoma Collaboration),Rhodes College,US,1U,not launched,not launched,Education mission to test the space hardiness of novel photovoltaic devices for lunar and planetary missions.,
2727,RVSAT-1,R V College of Engineering,India,2U,not launched,not launched,Educational training for students and biological payload.,
2728,SeaKing,Palos Verdes High School,US,1U,not launched,not launched,Open-source high school satellite to take pictures from space.,
2729,Selemela,Selemela,Botswana,1U,not launched,not launched,First nanosatellite of Botswana for research and educational purposes.,
2730,SERPENT A Chaser (Satellite Evaluation of Relative Pose Estimation of a Noncooperative Target),The University of Texas at Austin,US,6U,not launched,not launched,Develop an autonomous pose estimation and prediction algorithm through the use of neural networks and computer vision.,
2731,Seven Sisters 1,Seven Sisters (Fleet Space),Australia,6U,not launched,not launched,The Australian lunar exploration mission to send nanosatellites and sensors to the Moon to search for accessible water.,
2732,SharedSat 1,Sideralis Foundation,Ecuador,1U,not launched,not launched,The Space Access Acceleration Program provides its beneficiaries with slots for payloads in the SharedSats acquired by Sideralis.,
2733,Skyris,Inovor,US,12U,not launched,not launched,Uses on-board machine learning to enhance capability over existing Earth imaging systems.,
2734,SpaceTeamSat1,Vienna University of Technology,Austria,1U,not launched,not launched,"Contain various sensors, which can be read-out by the individual code from the student teams.",
2735,SPARCS (Star-Planet Activity Research CubeSat),Arizona State University,US,6U,not launched,not launched,Monitor the flares and sunspots of small stars to assess habitability of orbiting planets.,
2736,SPEQTRE (QKD Cubesat),RAL Space,UK,12U,not launched,not launched,Deploy a satellite quantum key distribution (QKD) test bed.,
2737,SROC (Space Rider Observer Cube),Politecnico di Torino,Italy,6U,not launched,not launched,Perform in-situ observations of Space Rider (SR).,
2738,Startical 2,Startical,Spain,6U,not launched,not launched,"Demonstrate novel global air traffic management service from space, allowing aircraft everywhere to coordinate with air traffic managers using VHF and ADS-B technologies.",
2739,Startical 3,Startical,Spain,6U,not launched,not launched,"Demonstrate novel global air traffic management service from space, allowing aircraft everywhere to coordinate with air traffic managers using VHF and ADS-B technologies.",
2740,STEM-SAT1,Athens State University,US,1U,not launched,not launched,"Collect and store Low Frequency (LF) and Very Low Frequency (VLF) signals, normally blocked by the earth's atmosphere.",
2741,STEP-1 (Staged Electrospray Pathfinder 1),Massachusetts Institute of Technology,US,3U,not launched,not launched,Technology demonstration mission for the staged electrospray propulsion system.,
2742,STORK-7,SatRevolution,Poland,3U,not launched,not launched,"Innovative shared platform with Earth-Observation capabilities. Aimed at in-orbit services, the mission currently has capacity for external payloads.",
2743,STORK-10,SatRevolution,Poland,3U,not launched,not launched,"Innovative shared platform with Earth-Observation capabilities. Aimed at in-orbit services, the mission currently has capacity for external payloads.",
2744,STORK-11,SatRevolution,Poland,3U,not launched,not launched,"Innovative shared platform with Earth-Observation capabilities. Aimed at in-orbit services, the mission currently has capacity for external payloads.",
2745,STORK-12,SatRevolution,Poland,3U,not launched,not launched,"Innovative shared platform with Earth-Observation capabilities. Aimed at in-orbit services, the mission currently has capacity for external payloads.",
2746,STORK-13,SatRevolution,Poland,3U,not launched,not launched,"Innovative shared platform with Earth-Observation capabilities. Aimed at in-orbit services, the mission currently has capacity for external payloads.",
2747,STORK-14,SatRevolution,Poland,3U,not launched,not launched,"Innovative shared platform with Earth-Observation capabilities. Aimed at in-orbit services, the mission currently has capacity for external payloads.",
2748,SWARM-EX A (Space Weather Atmospheric Reconfigurable Multiscale EXperiment),Olin College,US,3U,not launched,not launched,Three CubeSat constellation to investigate the relationship between charged particles and neutral particles in the thermosphere.,
2749,SWARM-EX B (Space Weather Atmospheric Reconfigurable Multiscale EXperiment),Olin College,US,3U,not launched,not launched,Three CubeSat constellation to investigate the relationship between charged particles and neutral particles in the thermosphere.,
2750,SWARM-EX C (Space Weather Atmospheric Reconfigurable Multiscale EXperiment),Olin College,US,3U,not launched,not launched,Three CubeSat constellation to investigate the relationship between charged particles and neutral particles in the thermosphere.,
2751,SWIMSat (Science Weather and Meteor Impact Monitoring),Arizona State University,US,6U,not launched,not launched,Monitor space weather and provide warnings.,
2752,TCU-100 (TCU-00),Tokyo City University,Japan,1U,not launched,not launched,One of the child satellites carried by STARS-X with radio amateur payloads.,
2753,TOLOSAT,ASTRE (Association Spatiale Toulousaine de Recherche Étudiante),France,3U,not launched,not launched,Gravity field study & Iridium link.,
2754,TOM 1,Zentrum für Telematik,Germany,1U,not launched,not launched,Photogrammetric Ash Cloud Observation by a Formation of three Small Satellites.,
